presence - internal reconnaissance,Activate recording
presence - internal reconnaissance,File system enumeration
presence - internal reconnaissance,Group permission enumeration
presence - internal reconnaissance,Keylogging
presence - internal reconnaissance,Local network connection enumeration
presence - internal reconnaissance,Local network settings enumeration
presence - internal reconnaissance,Operating system enumeration
presence - internal reconnaissance,Owner/User enumeration
presence - internal reconnaissance,Process enumeration
presence - internal reconnaissance,Screen capture
presence - internal reconnaissance,Service enumeration
presence - internal reconnaissance,Software enumeration
presence - internal reconnaissance,Window enumeration
presence - lateral movement,Application deployment software
presence - lateral movement,Employ logon scripts
presence - lateral movement,Exploit peer connections
presence - lateral movement,Pass the hash
presence - lateral movement,Pass the ticket
presence - lateral movement,Relay communications
presence - lateral movement,Remote file shares
presence - lateral movement,Remote interactive logon
presence - lateral movement,Remote services
presence - lateral movement,Replication through removable media
presence - lateral movement,Shared webroot
presence - lateral movement,Taint shared content
presence - lateral movement,Targets application vulnerability
presence - lateral movement,Targets operating system vulnerability
presence - lateral movement,Use remote management services
presence - persistence,Accessibility features
presence - persistence,Automatic loading at startup
presence - persistence,Backdoor
presence - persistence,Create new service
presence - persistence,Edit MBR
presence - persistence,Edit file type associations
presence - persistence,Employ logon scripts
presence - persistence,Install hypervisor rootkit
presence - persistence,Library search hijack
presence - persistence,Link modification
presence - persistence,Modify BIOS
presence - persistence,Modify existing services
presence - persistence,Modify service configuration
presence - persistence,Path interception
presence - persistence,Replace service binary
presence - persistence,Scheduled task
presence - persistence,Use legitimate credentials
presence - persistence,Web shell
presence - privilege escalation,Accessibility features
presence - privilege escalation,Automatic loading at startup
presence - privilege escalation,Create new service
presence - privilege escalation,Library search hijack
presence - privilege escalation,Link modification
presence - privilege escalation,Manipulate trusted process
presence - privilege escalation,Modify service configuration
presence - privilege escalation,Path interception
presence - privilege escalation,Process injection
presence - privilege escalation,Replace service binary
presence - privilege escalation,Scheduled task
presence - privilege escalation,Targets application vulnerability
presence - privilege escalation,Targets operating system vulnerability
presence - privilege escalation,Use legitimate credentials
